121504.5~44c7fb: 13715 records, 16.9 min, game type 3, 4 names
121504.6~cc15fe: 10783 records, 15.6 min, game type 3, 4 names
121604.1~05ed20: 11102 records, 10.0 min, game type 3, 4 names
121604.1~479925: 121695 records, 74.3 min, game type 3, 4 names
122204.1~33c9bd: 27422 records, 30.0 min, game type 3, 2 names
122204.2~7e8b47: 22480 records, 33.0 min, game type 3, 2 names
122204.3~be2352: 30218 records, 32.3 min, game type 3, 4 names
122204.4~32ba77: 10608 records, 10.7 min, game type 3, 4 names
122204.5~9d9848: 27600 records, 25.3 min, game type 3, 4 names
122204.6~ef40b5: 28979 records, 24.6 min, game type 3, 4 names
122704.1~b2a597: 5818 records, 6.4 min, game type 3, 2 names
122704.2~6e5a3c: 7646 records, 8.3 min, game type 3, 2 names
122704.3~d46a6d: 37597 records, 41.2 min, game type 3, 2 names
122704.4~7c6322: 14671 records, 17.2 min, game type 3, 2 names
122704.5~1949e6: 13164 records, 13.7 min, game type 3, 2 names
122704.6~9cb8e5: 37382 records, 39.9 min, game type 3, 2 names
010705.1~3bda8a: 32625 records, 35.1 min, game type 3, 4 names
010705.2~68a91d: 24929 records, 25.6 min, game type 3, 4 names
010705.3~16bcd2: 22883 records, 25.7 min, game type 3, 4 names
011205.1~4ef0f1: 12472 records, 14.7 min, game type 3, 2 names
011205.2~c18736: 15245 records, 19.0 min, game type 3, 2 names
011205.3~fa35dc: 22680 records, 27.5 min, game type 3, 2 names
011505.8~02699e: 13959 records, 14.9 min, game type 3, 2 names
020205.1~fb0fc4: 18438 records, 22.0 min, game type 3, 2 names
020205.2~537de0: 11210 records, 13.2 min, game type 3, 2 names
020205.3~f771f5: 12440 records, 14.7 min, game type 3, 2 names
030105.1~dad3ce: 70690 records, 84.8 min, game type 3, 2 names
030705.1~b9526a: 10993 records, 13.0 min, game type 3, 2 names
030705.2~23cec5: 14292 records, 20.3 min, game type 3, 2 names
030705.3~15c850: 31129 records, 38.5 min, game type 3, 2 names
030705.4~e7ff42: 21474 records, 16.5 min, game type 3, 2 names
030705.5~64753e: 22786 records, 22.9 min, game type 3, 2 names
030805.1~518f24: 21697 records, 26.2 min, game type 3, 2 names
030805.2~efad6e: 17065 records, 20.0 min, game type 3, 2 names
030805.3~c93842: 19982 records, 23.7 min, game type 3, 2 names
030805.4~1fcff1: 8723 records, 7.7 min, game type 3, 2 names
030805.5~4febfa: 27687 records, 24.0 min, game type 3, 2 names
031005.1~61e453: 18003 records, 20.6 min, game type 3, 4 names
031105.1~9e1a59: 61214 records, 83.0 min, game type 3, 2 names
031105.2~021934: 9402 records, 11.9 min, game type 3, 2 names
031105.3~75c3ba: 11347 records, 14.0 min, game type 3, 2 names
031105.4~ffbdcd: 29089 records, 34.5 min, game type 3, 2 names
031405.1~a2112b: 12587 records, 16.5 min, game type 3, 2 names
031405.2~c925e5: 10942 records, 13.6 min, game type 3, 3 names
031605.1~5ca20f: 30769 records, 36.3 min, game type 3, 2 names
031605.3~93567d: 21735 records, 26.7 min, game type 3, 2 names
